country,Year,success,internationalAttack,attackType,targetTypeTitle,targetType,targetSubtype,terroristGroup,numberKilled,numberWounded
United Kingdom      ,1998,0,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1998,1,1,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Basque Fatherland and Freedom (ETA)               ,1,0
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Fighting Guerrilla Formation                      ,0,0
United Kingdom      ,1998,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Loyalist Volunteer Forces (LVF)                   ,1,0
Bulgaria            ,1998,1,0,Bombardeamento             ,TargetType,Jornalismo e Media         ,Jornal                                         ,Desconhecido                                           ,0,0
Greece              ,1998,1,0,Infraestrutura      ,TargetType,Negócios                 ,Banco                                              ,May-15,0,0
United Kingdom      ,1998,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Loyalist Volunteer Forces (LVF)                   ,1,0
United Kingdom      ,1998,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish National Liberation Army (INLA)             ,1,0
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Desconhecido                                           ,0,0
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Negócios                 ,Entretenimento         ,Desconhecido                                           ,0,0
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Negócios                 ,Desconhecido                                           ,Desconhecido                                           ,0,0
United Kingdom      ,1998,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish National Liberation Army (INLA)             ,1,0
United Kingdom      ,1998,1,1,Assalto                       ,TargetType,Negócios                 ,Desconhecido                                           ,Desconhecido                                           ,1,0
Greece              ,1998,1,0,Infraestrutura      ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Conscientious Arsonists (CA)                      ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Entretenimento         ,Irish Republican Army (IRA)                       ,0,0
Greece              ,1998,1,0,Infraestrutura      ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Conscientious Arsonists (CA)                      ,0,0
Spain               ,1998,1,1,Assassinato                 ,TargetType,Governo                  ,Politicos                                      ,Basque Fatherland and Freedom (ETA)               ,2,0
Slovak Republic     ,1998,1,0,Bombardeamento             ,TargetType,Transportes              ,Bus                                               ,Desconhecido                                           ,0,2
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,0
France              ,1998,1,0,Assassinato                 ,TargetType,Governo                  ,Embaixada                                           ,Corsican National Liberation Front         ,1,0
United Kingdom      ,1998,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA)                       ,1,1
United Kingdom      ,1998,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,1
Spain               ,1998,0,1,Bombardeamento             ,TargetType,Negócios                 ,Desconhecido                                           ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1998,1,0,Infraestrutura      ,TargetType,Negócios                 ,Banco                                              ,Desconhecido                                           ,0,0
Spain               ,1998,1,0,Infraestrutura      ,TargetType,Negócios                 ,Banco                                              ,Desconhecido                                           ,0,0
Greece              ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Corporações                                       ,Desconhecido                                           ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,11
Spain               ,1998,0,1,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1998,1,0,Bombardeamento             ,TargetType,Transportes              ,Comboio                                             ,Desconhecido                                           ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Irish Republican Army (IRA)                       ,0,4
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Instituto Educacional    , Edifício Educacional,Irish National Liberation Army (INLA)             ,0,0
Germany             ,1998,1,0,Infraestrutura      ,TargetType,Transportes              ,Comboio                                             ,Desconhecido                                           ,0,0
Germany             ,1998,1,0,Infraestrutura      ,TargetType,Transportes              ,Comboio                                             ,Desconhecido                                           ,0,0
United Kingdom      ,1998,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA)                       ,2,2
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,1
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Negócios                 ,Corporações                                       ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Negócios                 ,Corporações                                       ,November 17 Revolutionary Organização (N17RO)    ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1998,1,0,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,Desconhecido                                           ,0,0
Spain               ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,First of October Antifascist Resistance Group,0,0
Hungary             ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
United Kingdom      ,1998,0,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
United Kingdom      ,1998,0,1,Bombardeamento             ,TargetType,Negócios                 ,Entretenimento         ,Desconhecido                                           ,0,0
United Kingdom      ,1998,0,1,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1998,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Forças Militares                                ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1998,1,1,Assalto                       ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,1,0
Ireland             ,1998,0,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA)                       ,0,0
Latvia              ,1998,1,0,Bombardeamento             ,TargetType,Religião,Local de Culto                                  ,Desconhecido                                           ,0,0
Latvia              ,1998,1,1,Bombardeamento             ,TargetType,Governo                  ,Embaixada                                           ,Desconhecido                                           ,0,0
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1998,1,1,Bombardeamento             ,TargetType,Governo                  ,Embaixada                                           ,Conscientious Arsonists (CA)                      ,0,0
United Kingdom      ,1998,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,1,0
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Religião,Religião Institution                             ,Desconhecido                                           ,0,0
United Kingdom      ,1998,0,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1998,0,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA)                       ,0,0
Ireland             ,1998,0,1,Assalto                       ,TargetType,Negócios                 ,Corporações                                       ,Irish Republican Army (IRA)                       ,1,0
Greece              ,1998,1,1,Bombardeamento             ,TargetType,Governo                  ,Embaixada                                           ,Conscientious Arsonists (CA)                      ,0,0
United Kingdom      ,1998,0,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Conscientious Arsonists (CA)                      ,0,0
Spain               ,1998,1,1,Assassinato                 ,TargetType,Governo                  ,Politicos                                      ,Basque Fatherland and Freedom (ETA)               ,1,0
Slovak Republic     ,1998,1,0,Bombardeamento             ,TargetType,Negócios                 ,Desconhecido                                           ,Desconhecido                                           ,1,1
Spain               ,1998,1,1,Assalto                       ,TargetType,Forças Militares            ,Pessoal Militar                                ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
Bulgaria            ,1998,1,0,UnAssalto                     ,TargetType,Jornalismo e Media         ,Jornal                                         ,Desconhecido                                           ,0,1
United Kingdom      ,1998,0,1,Bombardeamento             ,TargetType,Transportes              ,Road                                              ,Irish National Liberation Army (INLA)             ,0,0
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,May-98,0,0
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Airports & Aeronave           ,Aeronave                                          ,May-98,0,0
Hungary             ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Entretenimento         ,Irish National Liberation Army (INLA)             ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Governo                  ,Embaixada                                           ,Desconhecido                                           ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish National Liberation Army (INLA)             ,0,6
Spain               ,1998,1,1,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Basque Fatherland and Freedom (ETA)               ,1,1
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Revolutionary Nuclei                              ,0,2
United Kingdom      ,1998,1,1,Infraestrutura      ,TargetType,Religião,Local de Culto                                  ,Loyalist Volunteer Forces (LVF)                   ,0,0
United Kingdom      ,1998,1,1,Infraestrutura      ,TargetType,Religião,Local de Culto                                  ,Loyalist Volunteer Forces (LVF)                   ,0,0
United Kingdom      ,1998,1,1,Infraestrutura      ,TargetType,Religião,Local de Culto                                  ,Loyalist Volunteer Forces (LVF)                   ,0,0
United Kingdom      ,1998,1,1,Infraestrutura      ,TargetType,Religião,Local de Culto                                  ,Loyalist Volunteer Forces (LVF)                   ,0,0
United Kingdom      ,1998,1,1,Infraestrutura      ,TargetType,Religião,Local de Culto                                  ,Loyalist Volunteer Forces (LVF)                   ,0,0
United Kingdom      ,1998,1,1,Infraestrutura      ,TargetType,Religião,Local de Culto                                  ,Loyalist Volunteer Forces (LVF)                   ,0,0
United Kingdom      ,1998,1,1,Infraestrutura      ,TargetType,Religião,Local de Culto                                  ,Loyalist Volunteer Forces (LVF)                   ,0,0
United Kingdom      ,1998,1,1,Infraestrutura      ,TargetType,Religião,Local de Culto                                  ,Loyalist Volunteer Forces (LVF)                   ,0,0
United Kingdom      ,1998,1,1,Infraestrutura      ,TargetType,Religião,Local de Culto                                  ,Loyalist Volunteer Forces (LVF)                   ,0,0
United Kingdom      ,1998,0,1,Bombardeamento             ,TargetType,Desconhecido                       ,Desconhecido                                           ,Desconhecido                                           ,0,0
United Kingdom      ,1998,0,0,Bombardeamento             ,TargetType,Desconhecido                       ,Desconhecido                                           ,Irish Republican Army (IRA),0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,3,0
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Organização                                      ,Revolutionary Struggle                            ,0,0
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Organização                                      ,Revolutionary Struggle                            ,0,0
United Kingdom      ,1998,0,1,Bombardeamento             ,TargetType,Governo                  ,Organização                                      ,Irish Republican Army (IRA),0,0
Ireland             ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Turismo                                           ,Loyalist Volunteer Forces (LVF)                   ,0,2
France              ,1998,1,0,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Corsican National Liberation Front,0,0
United Kingdom      ,1998,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,1,0
France              ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Corsican National Liberation Front,0,0
United Kingdom      ,1998,0,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Desconhecido                                           ,0,0
Greece              ,1998,1,1,Infraestrutura      ,TargetType,Negócios                 ,Corporações                                       ,Arsonists for Social Cohesion                     ,0,0
Greece              ,1998,1,1,Infraestrutura      ,TargetType,Governo                  ,Embaixada                                           ,Arsonists for Social Cohesion                     ,0,0
Greece              ,1998,1,1,Infraestrutura      ,TargetType,Negócios                 ,Corporações                                       ,Arsonists for Social Cohesion                     ,0,0
United Kingdom      ,1998,0,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA),0,12
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
United Kingdom      ,1998,0,1,Assalto                       ,TargetType,Policia              ,Organizações Policiais                                    ,Desconhecido                                           ,0,0
Italy               ,1998,1,1,Bombardeamento             ,TargetType,Jornalismo e Media         ,Jornal                                         ,Grey Wolves                                       ,0,0
Italy               ,1998,1,1,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Grey Wolves                                       ,0,0
Italy               ,1998,1,1,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Grey Wolves                                       ,0,0
Italy               ,1998,1,1,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Grey Wolves                                       ,0,0
Spain               ,1998,1,0,Infraestrutura      ,TargetType,Transportes              ,Comboio                                             ,Desconhecido                                           ,0,0
Poland              ,1998,1,0,Infraestrutura      ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA),29,220
Poland              ,1998,1,0,Bombardeamento             ,TargetType,Negócios                 ,Desconhecido                                           ,Desconhecido                                           ,0,0
Spain               ,1998,1,0,Infraestrutura      ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
Italy               ,1998,1,0,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Desconhecido                                           ,0,1
Belgium             ,1998,0,1,Bombardeamento             ,TargetType,Governo                  ,Embaixada                                           ,Desconhecido                                           ,0,0
Latvia              ,1998,1,0,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
Italy               ,1998,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,13
France              ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Corsican National Liberation Front         ,0,0
France              ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Corsican National Liberation Front         ,0,0
France              ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Corsican National Liberation Front         ,0,0
Latvia              ,1998,0,1,Bombardeamento             ,TargetType,Governo                  ,Embaixada                                           ,Desconhecido                                           ,0,0
Belgium             ,1998,1,1,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Animal Liberation Front (ALF)                     ,0,0
France              ,1998,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Politicos                                      ,Partisan Sharpshooters                            ,0,0
Greece              ,1998,1,1,Infraestrutura      ,TargetType,Governo                  ,Embaixada                                           ,Desconhecido                                           ,0,0
France              ,1998,1,0,Bombardeamento             ,TargetType,Negócios                 ,Entretenimento         ,Desconhecido                                           ,0,0
France              ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Breton Liberation Front (FLB)                     ,0,0
United Kingdom      ,1998,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,1,0
France              ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
France              ,1998,0,0,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
Spain               ,1998,1,0,Bombardeamento             ,TargetType,Negócios                 ,Desconhecido                                           ,First of October Antifascist Resistance Group,0,0
France              ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
Germany             ,1998,0,0,UnAssalto                     ,TargetType,Other                         ,Desconhecido                                           ,Robin Food                                        ,0,0
Greece              ,1998,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,Orange Volunteers (OV)                            ,0,0
Belgium             ,1998,1,1,Infraestrutura      ,TargetType,Non-Governmental Organizaçãos,Desconhecido                                           ,Grey Wolves                                       ,0,0
Cyprus              ,1998,1,0,Assalto                       ,TargetType,Policia              ,Organizações Policiais                                    ,Desconhecido                                           ,0,0
Germany             ,1998,0,1,UnAssalto                     ,TargetType,Negócios                 ,Corporações                                       ,Robin Food                                        ,0,0
Spain               ,1998,1,1,Bombardeamento             ,TargetType,Policia              ,Agentes da Policia                      ,Basque Fatherland and Freedom (ETA)               ,0,5
Germany             ,1998,0,1,UnAssalto                     ,TargetType,Negócios                 ,Corporações                                       ,Robin Food                                        ,0,0
Germany             ,1998,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Terrorists                    ,Desconhecido                                           ,Orange Volunteers (OV)                            ,0,0
Greece              ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,Revolutionary Nuclei                              ,0,0
Greece              ,1998,1,1,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,Revolutionary Nuclei                              ,0,0
United Kingdom      ,1998,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,0
Greece              ,1999,1,1,Bombardeamento             ,TargetType,Instituto Educacional    , Edifício Educacional,Fight Against Authority                           ,0,0
France              ,1999,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,2
France              ,1999,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
United Kingdom      ,1999,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,2
United Kingdom      ,1999,1,1,Bombardeamento             ,TargetType,Negócios                 ,Entretenimento         ,Orange Volunteers (OV)                            ,0,1
United Kingdom      ,1999,1,1,UnAssalto                     ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,2
Spain               ,1999,1,1,Bombardeamento             ,TargetType,Policia              ,Agentes da Policia                      ,Basque Fatherland and Freedom (ETA)               ,0,1
Greece              ,1999,1,0,Infraestrutura      ,TargetType,Governo                  ,Instituições Governamentais                                      ,Children of November                              ,0,0
United Kingdom      ,1999,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1999,1,1,Infraestrutura      ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1999,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Orange Volunteers (OV)                            ,0,1
United Kingdom      ,1999,0,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,0
United Kingdom      ,1999,0,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,0
United Kingdom      ,1999,0,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,0
United Kingdom      ,1999,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,1
United Kingdom      ,1999,0,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Red Hand Defenders (RHD)                          ,0,0
United Kingdom      ,1999,0,1,Bombardeamento             ,TargetType,Religião,Local de Culto                                  ,Red Hand Defenders (RHD)                          ,0,0
Greece              ,1999,0,1,Bombardeamento             ,TargetType,Governo                  ,Embaixada                                           ,Support of Ocalan-The Hawks of Thrace             ,0,0
United Kingdom      ,1999,1,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Orange Volunteers (OV)                            ,0,0
Netherlands         ,1999,1,1,Reféns               ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
Germany             ,1999,1,0,Reféns               ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
Germany             ,1999,1,1,Infraestrutura      ,TargetType,Governo                  ,Embaixada                                           ,Desconhecido                                           ,3,43
Germany             ,1999,1,1,Bombardeamento             ,TargetType,Instituto Educacional    , Edifício Educacional,Desconhecido                                           ,0,0
Italy               ,1999,1,1,Assalto                       ,TargetType,Airports & Aeronave           ,Linha Aérea                                         ,Kurdistan Workers' Party (PKK)                    ,0,0
United Kingdom      ,1999,0,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Red Hand Defenders (RHD)                          ,0,0
Germany             ,1999,0,0,UnAssalto                     ,TargetType,Other                         ,Desconhecido                                           ,Robin Food                                        ,0,0
United Kingdom      ,1999,0,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,0
France              ,1999,1,0,Desconhecido                       ,TargetType,Airports & Aeronave           ,Aeronave                                          ,Desconhecido                                           ,0,0
France              ,1999,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Breton Liberation Front (FLB)                     ,0,0
Spain               ,1999,1,0,Infraestrutura      ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
Spain               ,1999,1,0,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
France              ,1999,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
Germany             ,1999,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Neo-Nazi extremists                               ,0,0
Ireland             ,1999,0,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1999,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1999,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,1
Spain               ,1999,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Politicos                                      ,Basque extremists                                 ,0,0
Spain               ,1999,1,1,Bombardeamento             ,TargetType,Negócios                 ,Corporações                                       ,Desconhecido                                           ,0,0
United Kingdom      ,1999,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Red Hand Defenders (RHD)                          ,1,0
United Kingdom      ,1999,1,1,Infraestrutura      ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,0
Spain               ,1999,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
United Kingdom      ,1999,1,1,Assassinato                 ,TargetType,Terrorists                    ,Desconhecido                                           ,Ulster Volunteer Force (UVF)                      ,1,0
Spain               ,1999,0,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
France              ,1999,1,0,Bombardeamento             ,TargetType,Utilidades                     ,Gas                                               ,Comite d'Action Viticole                          ,0,0
France              ,1999,1,0,Bombardeamento             ,TargetType,Other                         ,Desconhecido                                           ,Comite d'Action Viticole                          ,0,0
France              ,1999,1,0,Bombardeamento             ,TargetType,Telecomunicações             ,Desconhecido                                           ,Comite d'Action Viticole                          ,0,0
United Kingdom      ,1999,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,1
United Kingdom      ,1999,0,1,Bombardeamento             ,TargetType,Non-Governmental Organizaçãos,Desconhecido                                           ,Irish Republican Army (IRA)                       ,0,0
Greece              ,1999,1,1,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,Desconhecido                                           ,0,0
Greece              ,1999,0,1,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,Desconhecido                                           ,0,0
Spain               ,1999,1,0,Infraestrutura      ,TargetType,Transportes              ,Bus                                               ,Desconhecido                                           ,0,0
United Kingdom      ,1999,1,1,Bombardeamento             ,TargetType,Negócios                 ,Desconhecido                                           ,Orange Volunteers (OV)                            ,0,1
Spain               ,1999,1,0,Infraestrutura      ,TargetType,Policia              ,Agentes da Policia                      ,Desconhecido                                           ,0,0
United Kingdom      ,1999,1,1,Bombardeamento             ,TargetType,Negócios                 ,Turismo                                           ,Orange Volunteers (OV)                            ,0,0
Greece              ,1999,1,1,Bombardeamento             ,TargetType,Negócios                 ,Corporações                                       ,November 17 Revolutionary Organização (N17RO)    ,0,0
United Kingdom      ,1999,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,1
Spain               ,1999,1,0,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
France              ,1999,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
France              ,1999,1,0,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
Spain               ,1999,1,0,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
Spain               ,1999,0,0,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
